id,section,type,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,extra_data
1,Modelos y Metamodelos,Multiple Choice,"Si un modelo es suficiente para desarrollar una tarea, se dice que dicho modelo es:",Adecuado,Preciso,Conforme,No ambiguo,Perfecto,,"[""Adecuado""]",
2,Modelos y Metamodelos,Multiple Choice,"Si existe más de una interpretación posible para un modelo, se dice que dicho modelo es:",Ambiguo,Impreciso,Incorrecto,Inadecuado,Perfecto,,"[""Ambiguo""]",
3,Modelos y Metamodelos,Multiple Choice,¿Cuál de los siguientes elementos no es un tipo de artefacto?,Formato,Catálogo,Matriz,Diagrama,Proceso,,"[""Proceso""]",
4,Modelos y Metamodelos,Fill in the Blanks,Se denomina un modelo,,,,,,,"[""descriptivo"", ""AS-IS""]",
5,Modelos y Metamodelos,Fill in the Blanks,Se denomina un modelo,,,,,,,"[""prescriptivo"", ""TO-BE""]",
6,Modelos y Metamodelos,Multiple Choice,¿Cuál de las siguientes afirmaciones es falsa?,"Un metamodelo es una estructura de entidades (conceptos o clases), asociaciones y restricciones que permite representar modelos conceptuales",Cuando un modelo M cumple con todas las reglas que define un metamodelo MM se dice que M es conforme con MM,"Un metamodelo siempre tiene un concepto principal, llamado la raíz del metamodelo, cuyo objetivo es representar el dominio completo",Un metamodelo se puede representar usando un diagrama de casos de uso de UML,Un metamodelo se puede representar usando un diagrama de clases de UML,,"[""Un metamodelo se puede representar usando un diagrama de casos de uso de UML""]",
7,Modelos y Metamodelos,True/False,"Un metamodelo es un grafo que contiene 4 tipos de elementos que son: entidades (o conceptos), atributos, asociaciones y restricciones",True,False,,,,,"[""True""]",
8,Modelos y Metamodelos,Multiple Choice,¿Cuál de las siguientes afirmaciones es falsa?,Hay metamodelos mejores que otros,Dada una realidad solo es posible construir un metamodelo que sea correcto,Un metamodelo se puede descomponer en dimensiones,Un atributo es una característica de un concepto que se puede representar a través de un tipo simple de dato,"Entre mayor sea el alcance vertical de un metamodelo, más entidades y/o atributos pueden aparecer",Usando un metamodelo se puede representar un modelo conceptual,"[""Dada una realidad solo es posible construir un metamodelo que sea correcto""]",
9,Modelos y Metamodelos,Fill in the Blanks,Un modelo se representa a través de un conjunto de,,,,,,,"[""artefactos""]",
10,Modelos y Metamodelos,Matching,¿Cómo se definen los siguientes conceptos?,,,,,,,,"{""matching_pairs"": [{""premise"": ""Frontera de la realidad sobre la cual se va a construir el modelo (qué está por dentro y qué está por fuera)"", ""response"": ""Alcance horizontal""}, {""premise"": ""Nivel de detalle al que va a llegar un modelo"", ""response"": ""Alcance vertical""}, {""premise"": ""Universo de conceptos existentes en la realidad que se está estudiando"", ""response"": ""Modelo conceptual""}]}"
11,Modelos y Metamodelos,Multiple Choice,"Para este diagrama de clases de UML, ¿cuál de las siguientes afirmaciones es falsa?",Toda instancia de C1 tiene un atributo llamado a1,Toda instancia de C1 tiene asociadas múltiples instancias de C2,El grupo de instancias de C2 asociadas con cada instancia de C1 se denomina G,Por cada instancia de C2 debe haber al menos una instancia de C1,C1 y C2 representan conceptos,,"[""Por cada instancia de C2 debe haber al menos una instancia de C1""]",
12,Modelos y Metamodelos,Multi-Select,Seleccione todas las frases que son verdaderas,Un modelo conceptual sirve para definir el vocabulario (glosario de términos) que se usa en un proyecto,Un modelo conceptual se puede expresar mediante un metamodelo,El término modelo conceptual es sinónimo del término modelo ontológico,Es posible construir un modelo conceptual para cualquier dominio de conocimiento,Un modelo conceptual no puede tener más de 20 conceptos,,"[""Un modelo conceptual sirve para definir el vocabulario (glosario de términos) que se usa en un proyecto"", ""Un modelo conceptual se puede expresar mediante un metamodelo"", ""El término modelo conceptual es sinónimo del término modelo ontológico"", ""Es posible construir un modelo conceptual para cualquier dominio de conocimiento""]",
13,Modelos y Metamodelos,Multiple Choice,¿Cuál de las siguientes actividades no hace parte del proceso de crear un modelo empresarial?,Diseñar,Observar,Abstraer,Representar,,,"[""Diseñar""]",
14,Modelos y Metamodelos,Fill in the Blanks,"Para construir un modelo, un arquitecto debe observar la realidad. Esta observación puede ser",,,,,,,"[""directa"", ""indirecta""]",
15,Modelos y Metamodelos,True/False,¿La abstracción es un proceso mental que nos permite  asociar objetos (elementos) con conceptos?,True,False,,,,,"[""True""]",
16,Modelos y Metamodelos,Fill in the Blanks,Definir el alcance,,,,,,,"[""horizontal""]",
17,Modelos y Metamodelos,Fill in the Blanks,Definir el alcance,,,,,,,"[""vertical""]",
18,Modelos y Metamodelos,True/False,"¿Los términos ""alcance horizontal"" y ""altura"" se utilizan para referirse al mismo concepto?",True,False,,,,,"[""False""]",
19,Modelos y Metamodelos,Multiple Choice,¿Cuál de las siguientes actividades NO hace parte del proceso de conceptualizar una realidad?,Definir el vocabulario que se utiliza en la empresa,Estructurar el mapa de conceptos,Caracterizar cada concepto,Crear un modelo de la empresa,,,"[""Crear un modelo de la empresa""]",
20,Modelos y Metamodelos,True/False,"¿Los términos ""modelo conceptual"" y ""modelo ontológico"" se pueden usar como sinónimos?",True,False,,,,,"[""True""]",
21,Modelos y Metamodelos,True/False,¿Es cierto que todo modelo correcto es adecuado (para desarrollar una tarea)?,True,False,,,,,"[""False""]",
22,Modelos y Metamodelos,Fill in the Blanks,Un,,,,,,,"[""metamodelo""]",
23,Modelos y Metamodelos,Fill in the Blanks,Cuando un modelo M cumple con todas las reglas que define un metamodelo MM se dice que M es,,,,,,,"[""conforme""]",
24,Modelos y Metamodelos,Fill in the Blanks,"Un metamodelo siempre tiene un concepto principal, llamado la",,,,,,,"[""raíz"", ""raiz""]",
25,Modelos y Metamodelos,True/False,"¿Los términos ""concepto"" e ""instancia"" se pueden usar como sinónimos?",True,False,,,,,"[""False""]",
26,Modelos y Metamodelos,True/False,Para cualquier metamodelo es posible diseñar un lenguaje basado en formatos,True,False,,,,,"[""True""]",
